aootype,aookey,aooname,expend,charity_count,subsidiary_count,income
B,25.0,HOUNSLOW,1707476.4657534247,168,195,2381916.093150685
B,26.0,ISLINGTON,31825281.619178083,254,317,34246531.91780822
B,27.0,KENSINGTON AND CHELSEA,26074958.021917813,200,364,27642241.832876716
B,28.0,KINGSTON UPON THAMES,12962085.120547947,119,163,21102216.14520548
B,29.0,LAMBETH,5495056.290410958,313,356,6287491.098630137
B,30.0,LEWISHAM,40370939.761643834,270,333,46325330.4
B,31.0,MERTON,5288060.769863013,162,214,5504401.939726028
B,32.0,NEWHAM,29367417.284931507,239,257,14771958.498630136
B,33.0,REDBRIDGE,1089057.4739726027,188,266,851790.4082191781
B,34.0,RICHMOND UPON THAMES,15936069.54520548,180,241,24411243.191780824
B,35.0,SOUTHWARK,59718783.613698624,322,412,65037868.93424658
B,36.0,SUTTON,999022.7561643835,115,136,811218.5753424658
B,37.0,TOWER HAMLETS,52156277.967123285,264,349,38154550.06027397
B,38.0,WALTHAM FOREST,28761264.0,192,318,14073255.0
B,39.0,WANDSWORTH,4841222.94520548,196,208,5569557.706849315
B,40.0,BOLTON,26503090.336986303,382,550,29065093.498630136
B,41.0,BURY,13153339.38630137,364,427,13279899.265753426
B,42.0,MANCHESTER CITY,47581618.7890411,763,955,50746828.95616438
B,43.0,OLDHAM,9097447.40821918,390,457,8379680.695890412
B,44.0,ROCHDALE,9271036.073972601,312,402,8551342.4
B,45.0,SALFORD CITY,1250879.112328767,378,390,1404345.8410958904
B,46.0,STOCKPORT,318092.6383561644,381,417,283384.00821917807
B,47.0,TAMESIDE,8146163.430136986,349,385,8000704.043835618
B,48.0,TRAFFORD,10879.112328767123,318,344,15345.841095890411
